name,latitude,longitude,created_at,updated_at
足立区,35.77538431785286,139.80454767800697,2024-05-08,2024-05-08
荒川区,35.736163856807295,139.7831498387147,2024-05-08,2024-05-08
板橋区,35.75135273614596,139.70950282522446,2024-05-08,2024-05-08
江戸川区,35.70750090912388,139.86855568658729,2024-05-08,2024-05-08
大田区,35.56219140908899,139.71620955580795,2024-05-08,2024-05-08
葛飾区,35.74439528529307,139.8473347866115,2024-05-08,2024-05-08
北区,35.75368541862942,139.73405303661772,2024-05-08,2024-05-08
江東区,35.673725163520274,139.81726742519734,2024-05-08,2024-05-08
品川区,35.60992927010143,139.7301498944717,2024-05-08,2024-05-08
渋谷区,35.664346228139536,139.69786958655894,2024-05-08,2024-05-08
新宿区,35.69467288321413,139.70334292521122,2024-05-08,2024-05-08
杉並区,35.700211730238244,139.63645777124063,2024-05-08,2024-05-08
墨田区,35.711403383382425,139.80174037124803,2024-05-08,2024-05-08
世田谷区,35.64724297010918,139.65314667915436,2024-05-08,2024-05-08
台東区,35.71333411181675,139.77997784056544,2024-05-08,2024-05-08
千代田区,35.694844988497195,139.7534894558951,2024-05-08,2024-05-08
中央区,35.67139946053185,139.77195072519592,2024-05-08,2024-05-08
豊島区,35.72678493053872,139.71664944057437,2024-05-08,2024-05-08
中野区,35.707889518755636,139.6636047791943,2024-05-08,2024-05-08
練馬区,35.73641119409678,139.65181875592262,2024-05-08,2024-05-08
文京区,35.70900974056391,139.75190836385295,2024-05-08,2024-05-08
港区,35.65865030623709,139.75135129450376,2024-05-08,2024-05-08
目黒区,35.64219699407184,139.69827978654425,2024-05-08,2024-05-08
